epoch,train_loss,val_loss,val_f1_macro_t05,lr
1,0.3152949416376266,0.28445057706399396,0.6906955204628654,0.0009990232305719944
2,0.26587010052093524,0.26661436192014,0.7129899272511688,0.0009960967771506664
3,0.24308498265202513,0.2476947090842507,0.7268949977534942,0.0009912321891107007
4,0.2322287708328864,0.23614540899341757,0.7420747292250582,0.0009844486647586721
5,0.22680364622129606,0.25997320968996396,0.7058749446576902,0.0009757729755661009
6,0.21855569233368968,0.23956585065885025,0.7170356090889263,0.0009652393605146842
7,0.2142156967029129,0.2626507424495437,0.7217309294946869,0.0009528893909706795
8,0.20773442742443576,0.2326571433381601,0.7511900609779278,0.0009387718066217122
9,0.20422045222109125,0.2263185049999844,0.7550824063132814,0.0009229423231234972
10,0.19932958514420027,0.2401037277145819,0.7436068703987312,0.0009054634122155987
11,0.19319317409211828,0.2305557934398001,0.7562596674386789,0.0008864040551740153
12,0.18665431762479015,0.25211264938116074,0.7387469410467196,0.0008658394705735984
13,0.1817092585771047,0.24037911201065237,0.7583339290910108,0.0008438508174347006
14,0.1743624666033639,0.23494957319714807,0.7527242621682291,0.000820524874925601
15,0.16743924512921535,0.23323544656688516,0.7625141352983225,0.000795953699884774
16,0.1606583116556873,0.2525465684858235,0.7343886129156147,0.000770234263514603
17,0.1472579113486194,0.24453878267244858,0.7451276399012381,0.0007434680686803488
18,0.13449573636861498,0.26208663325418124,0.7480935054386805,0.0007157607493247108
19,0.12100978928243684,0.2704341255805709,0.7448020924223377,0.0006872216535789154
